siren,denomination,naf_code,effectif,ville,anciennete,taux_chomage,croissance_pib,target_defaut
021529151,115 R STE CECILE,81.10Z,,MARSEILLE,32,,,0
021529284,8 10 RUE THIEUX,81.10Z,,MARSEILLE,32,,,0
021529599,6 SQUARE MICHELET,81.10Z,,MARSEILLE 9EME,32,,,0
021535174,COPRO PARC RAPHAEL,81.10Z,,MARSEILLE,32,,,0
021536487,COPRO PARC FORER BAT B,81.10Z,,MARSEILLE,32,,,0
021537642,31 33 RUE CAISSERIE,81.10Z,,MARSEILLE,32,,,0
054700794,,00.97,,MARSEILLE,126,,,0
054700992,,00.97,,MARSEILLE,126,,,0
054701248,,00.97,,MARSEILLE,126,,,0
054705371,,65.06,,MARSEILLE,72,,,0
054707393,,00.97,,MARSEILLE,126,,,0
054708144,,87.07,,MARSEILLE,72,,,0
054711346,,38.40,,MARSEILLE,126,,,0
054712773,,00.97,,MARSEILLE 12,126,,,0
054713078,,00.97,,MARSEILLE,126,,,0
054713086,,00.97,,MARSEILLE,126,,,0
054714928,,00.97,,MARSEILLE,126,,,0
054716246,,51.4Q,,MARSEILLE,72,,,0
054716378,,87.01,,MARSEILLE,72,,,0
054718390,,62.43,,MARSEILLE,72,,,0
054721139,,00.97,,MARSEILLE,126,,,0
054723762,,00.97,,MARSEILLE,126,,,0
054727136,,51.3G,,MARSEILLE,72,,,0
054800222,AIRAUDO ET FILS,00.97,,MARSEILLE 13,126,,,0
054800560,ENTREPOTS GENERAUX DU MIDI,63.1E,,MARSEILLE 3,126,,,0
054801600,LE COLBERT,56.30Z,,MARSEILLE 1,72,,,0
054801618,COMPTOIR NORD AFRICAIN EXPORTA,00.97,,MARSEILLE 2,126,,,0
054801774,HOTELIERE DUC,55.10Z,3-5,MARSEILLE,72,,,0
054801824,SOCIETE MARITIME ET INDUSTRIELLE,46.69B,,MARSEILLE,72,,,0
054801881,TELEPHONIE MERIDIONALE,00.97,,MARSEILLE 1,126,,,0
054802079,CLINIQUE MON REPOS CHATEAU-DE-BONNEVEINE,86.10Z,,MARSEILLE 8,72,,,0
054802129,COMPAGNIE MARSEILLAISE D'IMPORTATION,46.19B,1-2,MARSEILLE,72,,,0
054802426,LE DERBY,68.20B,,MARSEILLE 4EME,72,,,0
054802467,ENTREPR GENERALE CONSTRUCTION,00.97,,MARSEILLE 7,126,,,0
054802707,SARL BOULANGERIE DES ALLEES,15.8C,,MARSEILLE 1,72,,,0
054802749,LES TISSUS PALMER NOUS DEUX,74.1J,,MARSEILLE,72,,,0
054802962,L ABEILLE D OR PATISSERIE,38.50,,MARSEILLE,72,,,0
054803275,ETABLISSEMENTS MAIER,13.10,,MARSEILLE 12,72,,,0
054803739,CORDERIE SAINTE MARGUERITE,00.97,,MARSEILLE 9,126,,,0
054803820,STAMATI FRERES AU ROI DU BON MARCHE,52.4C,,MARSEILLE,72,,,0
054804240,SAINT-LOUIS S.A.,63.2A,,MARSEILLE 8,72,,,0
054804703,SAVONNERIE FRANCAISE EXPORT,00.97,,MARSEILLE 5,126,,,0
054804729,MEISTER ET COMPAGNIE,51.1A,,MARSEILLE,72,,,0
054805072,REYNAUD ET SUZAN PRIMEURS,60.07,,MARSEILLE 14EME,72,,,0
054805163,SOCIETE DE L HOTEL DES VARIETE,81.21,,MARSEILLE 1,126,,,0
054805429,SOCIETE GENERALE D'ASSAINISSEMENT ET DE DISTRIBUTION,42.21Z,6-9,AIX-EN-PROVENCE,72,,,0
054805601,AUTOS STOCKS DE PROVENCE,50.3A,,MARSEILLE,72,,,0
054806146,LA CIOTAT MOTOS,50.4Z,,MARSEILLE,72,,,0
054806369,JOUVIN SA,51.4S,,MARSEILLE 12,72,,,0
054806526,COFRANEC,00.97,,MARSEILLE 2,126,,,0
054806542,SOCIETE MARSEILLAISE DE CREDIT,64.19Z,1000-1999,AIX-EN-PROVENCE,72,,,0
054806542,SOCIETE MARSEILLAISE DE CREDIT,64.19Z,1000-1999,MARSEILLE 2,72,,,0
054806542,SOCIETE MARSEILLAISE DE CREDIT,64.19Z,1000-1999,MARSEILLE 1,72,,,0
054806542,SOCIETE MARSEILLAISE DE CREDIT,64.19Z,1000-1999,MARSEILLE 8,72,,,0
054806724,RIVAS ET COUILLAUD,00.97,,MARSEILLE 6,126,,,0
054806849,ENTREPRISE DE NETTOYAGE DU SUD EST,74.7Z,,MARSEILLE,72,,,0
054807318,GRIMAUD CIE BOUCHERIE,62.43,,MARSEILLE,126,,,0
054807904,LES MATERIAUX MODERNES,51.5F,,MARSEILLE 10,72,,,0
055500953,REGISTRES LE DAUPHIN,17.23Z,20-49,MARSEILLE,71,,,0
055701627,,64.11,,MARSEILLE,126,,,0
055701742,,47.02,,MARSEILLE,126,,,0
055703243,,67.01,,MARSEILLE,126,,,0
055703359,,00.97,,MARSEILLE,126,,,0
055710578,,38.40,,MARSEILLE,126,,,0
055711998,,38.50,,MARSEILLE,71,,,0
055714018,,67.01,,MARSEILLE,71,,,0
055714174,,00.97,,MARSEILLE 1,126,,,0
055714562,,00.97,,MARSEILLE,126,,,0
055714604,,00.97,,MARSEILLE,126,,,0
055716039,,00.97,,MARSEILLE,126,,,0
055717037,,81.21,,MARSEILLE,126,,,0
055717698,,67.04,,MARSEILLE 14EME,126,,,0
055718894,,00.97,,MARSEILLE,126,,,0
055719173,,64.42,,MARSEILLE,126,,,0
055721369,,64.14,,MARSEILLE,126,,,0
055723597,,00.97,,MARSEILLE,126,,,0
055724280,,00.97,,MARSEILLE,126,,,0
055724462,,00.97,,MARSEILLE,126,,,0
055725055,,00.97,,MARSEILLE,126,,,0
055728943,,67.01,,MARSEILLE,126,,,0
055729305,,00.97,,MARSEILLE,126,,,0
055732259,,55.4B,,MARSEILLE 15EME,71,,,0
055733158,,00.98,,MARSEILLE,126,,,0
055733422,,64.30,,MARSEILLE,71,,,0
055734073,,62.11,,MARSEILLE,126,,,0
055800544,DANIEL BLANC CREATIONS,47.75Z,,MARSEILLE,71,,,0
055800585,SOC MARSEILLAISE D EMBALLAGES,50.07,,MARSEILLE,71,,,0
055800726,L EQUIPEMENT MENAGER,00.97,,MARSEILLE 7,126,,,0
055800817,VICTOR GIRAL & CIE,46.19B,1-2,MARSEILLE,39,,,1
055800874,ETS FAGES ET CIE,51.4N,,MARSEILLE,69,,,0
055801153,FONDERIES DE PLOMBIERES,00.97,,MARSEILLE 3,126,,,0
055801294,MARSEILLE LES CASTORS EDF,00.97,,MARSEILLE 2,126,,,1
055801500,GARAGE DU MIDI P DE BOVIS ET CIE,64.20Z,,MARSEILLE 6,71,,,0
055801963,UNION IMMOBILIERE,68.20A,1-2,MARSEILLE,71,,,0
055801963,UNION IMMOBILIERE,68.20A,1-2,MARSEILLE,71,,,0
055802094,S I R A M,65.03,,MARSEILLE,71,,,0
055802151,LA CALANQUE BAR RESTAURANT,67.01,,MARSEILLE 1,126,,,0
055802284,SUD PAPIERS PEINTS,68.20B,,MARSEILLE,71,,,0
055803084,BAR  DE L'HOTEL BRISTOL,67.04,,MARSEILLE 1,126,,,0
055803100,LE FORBAN,00.97,,MARSEILLE 2,126,,,0
055803191,SOCIETE FONCIERE PROVENCALE,68.20B,,MARSEILLE,71,,,0
055803381,OLYMPIC BAR,56.30Z,,MARSEILLE 6,71,,,0
055803894,SARL BEN JUNIOR,52.1B,,MARSEILLE,39,,,0
055804074,ENTREP TRANSP ET MANUTENTION,69.12,,MARSEILLE 15,71,,,0
055804322,HOTEL DE TRIEVE,55.1D,,MARSEILLE 1,71,,,0
055804462,PANIFICATION PROVENCALE BOULAN,15.8C,,MARSEILLE 11,71,,,0
055804546,PARIS TISSUS,81.21,,MARSEILLE 1,126,,,0
055804561,LIBRAIRIE PAPETERIE D'ENDOUME,47.62Z,1-2,MARSEILLE,71,,,0
055804645,HOTEL DE L'ELDORADO,00.97,,MARSEILLE 1,126,,,0
055804876,ANTOINE DE PARIS COIFFEUR DAME,87.03,,MARSEILLE 1,71,,,0
055805527,ETABLIS SPORTVILLE,47.02,,MARSEILLE 1,126,,,0
055805634,ADRIAN SA,24.6E,,MARSEILLE,71,,,0
055805766,JERUSALMI ET ENFANTS CONFECT,47.01,,MARSEILLE 8,126,,,0
055805832,SOCIETE PROVENCALE DE CHAUDRONNERIE,24.08,,MARSEILLE,71,,,0
055806400,EURODIM,63.1D,,MARSEILLE 2,71,,,0
055806723,TERMINUS HOTEL,67.09,,MARSEILLE 1,126,,,0
055806921,ETABLISSEMENTS AUTELEC,45.20A,,MARSEILLE,71,,,0
055807044,LAURENT ET CIE,31.09B,,MARSEILLE,53,,,0
055807085,A D HUART ET FILS INDUST METAL,89.07,,MARSEILLE,71,,,0
055807309,COMPTOIR DES BOIS ET CONTREPLAQUES,59.07,,MARSEILLE 2,71,,,0
055807614,ARENES IMMOBILIERE,00.97,,MARSEILLE 6,126,,,0
055807697,LE BOURRELET HERMETIQUE ESPINOS-ROY,55.73,,MARSEILLE 14,71,,,0
055807705,GELO SELOXYFUGE,17.25,,MARSEILLE,71,,,0
055808265,PIERRE DE PROVENCE TAIL PIER,15.03,,MARSEILLE 4,126,,,0
055808307,SOCIETE ETABLISSEMENTS LINOTAPIS,64.14,,MARSEILLE,71,,,0
055808364,M. CATALAN ET F. VIAL,00.97,,MARSEILLE 2,126,,,0
055809255,FIVES PILLARD,28.21Z,100-199,MARSEILLE,71,,,0
055810105,SOCIETE DU GRAND HOTEL MEDITERRANEE,67.09,,MARSEILLE,71,,,0
055810295,SOCIETE VERNET ET GELMINI,00.97,,MARSEILLE 3,126,,,0
055810337,NEO MEUBLES,00.97,,MARSEILLE 5,126,,,0
055810758,ETIG ECLAIR,00.97,,MARSEILLE 2,126,,,1
055811640,STE MAGALAINE SARL,64.11,,MARSEILLE,71,,,0
055811913,SOC INDUSTR ET COMM DE MARBRES,00.97,,MARSEILLE 8,126,,,0
055812317,DUBAIL ET CIE,00.97,,MARSEILLE 6,126,,,0
056702392,,79.06,,MARSEILLE,70,,,0
056703176,,62.44,,MARSEILLE 6EME,70,,,0
056703523,,00.97,,MARSEILLE,126,,,0
056704547,,64.43,,MARSEILLE,70,,,0
056705809,,00.97,,MARSEILLE,126,,,0
056710569,,00.97,,MARSEILLE 9,126,,,0
056712953,,55.3A,,MARSEILLE,126,,,0
056714058,,70.2C,,MARSEILLE,70,,,0
056714280,,00.97,,MARSEILLE 4,126,,,0
056714447,,62.46,,MARSEILLE,70,,,0
056718448,,62.43,,MARSEILLE,126,,,0
056718760,,00.97,,MARSEILLE,126,,,0
056721483,,62.11,,MARSEILLE,126,,,0
056725385,,64.11,,MARSEILLE,126,,,0
056726755,,81.11,,MARSEILLE,126,,,0
056726946,,00.97,,MARSEILLE,126,,,0
056727084,,64.43,,MARSEILLE,70,,,0
056727829,,39.04,,MARSEILLE,126,,,0
056728348,,00.97,,MARSEILLE,126,,,0
056730021,,69.12,,MARSEILLE,126,,,0
056730856,,64.43,,MARSEILLE,126,,,0
056731268,,67.04,,MARSEILLE,126,,,0
056800469,GIRAUD FRERES,46.38B,3-5,MARSEILLE,70,,,0
056801020,GRDS MOULIN PRADO BONTOUX CIE,76.00,,MARSEILLE,126,,,0
056801053,FINANCIERE ET FONCIERE DU FROID,47.64Z,1-2,MARSEILLE,70,,,0
056801103,ETABLISSEMENTS ARLES,51.3T,,MARSEILLE 15,70,,,0
056801418,VERT PLAN MAISON REPOS,85.1A,,MARSEILLE 9,70,,,0
056801475,MIDI OCCASIONS,00.97,,MARSEILLE 6,126,,,0
056801608,SOC FRANC PROD TARTRIQUE MANTE,64.30Z,,MARSEILLE 8,70,,,0
056801632,MANUFACTURE DE CHEMISES DU MIDI,00.97,,MARSEILLE 14,126,,,0
056802135,SUD OUEST MARSEILLE AIR ROUTE,74.03,,MARSEILLE,70,,,0
056803059,SOC IMMOBILIERE VILLA PASTRE,79.03,,MARSEILLE,126,,,0
056803109,CABINET DES CINQ AVENUES,68.31Z,1-2,MARSEILLE 4EME,70,,,0
056803190,TRAVAUX PUBLICS DE PROVENCE,00.97,,MARSEILLE 7,126,,,0
056803331,ETABLISSEMENTS PROUVOST DALLE,00.97,,MARSEILLE 12,126,,,0
056803430,ACHARD BAYLE SA,00.98,,MARSEILLE 1,126,,,0
056803448,ETABLISSEMENTS DOTTA PERE ET FILS,57.08,,MARSEILLE 10,70,,,0
056803539,ESTAMINET DE LA BOURSE,67.04,,MARSEILLE 1,70,,,0
056803869,AMERICAN DEPOSIT,00.98,,MARSEILLE 1,126,,,0
056804206,MERLIN ET GERIN,,,MARSEILLE 8,126,,,0
056804412,HLM MEDITERRANEE,70.2A,,MARSEILLE 1,71,,,0
056804412,HLM MEDITERRANEE,70.2A,,MARSEILLE 12,71,,,0
056804651,ETABL GERVAIS COLOMB ET CIE,58.03,,MARSEILLE,70,,,0
056804784,ROYAL HOTEL TOURISME,67.08,,MARSEILLE 1,126,,,0
056804867,CV HOLDINGS,66.30Z,,MARSEILLE,70,,,0
056805286,SOCIETE IMMOBILIERE MARSEILLE SUD,00.97,,MARSEILLE 2,126,,,0
056805732,CHANTIERS DE LA RESERVE,32.03,,MARSEILLE,70,,,0
056805757,TORREFACTION NOAILLES,47.29Z,20-49,MARSEILLE,70,,,0
056806086,CHARLES GEORGES,18.2C,,MARSEILLE 8,70,,,0
056806482,MERCIER ASSURANCES,66.22Z,,MARSEILLE,70,,,0
056806532,CIE MERIDIONALE D ELECTRICITE,58.04,,MARSEILLE 1,126,,,0
056806771,SOCIETE IMMOBILIERE BEARN,00.97,,MARSEILLE 8,126,,,0
056807365,EQUIPEMENT METALLIQUE,00.97,,MARSEILLE 3,126,,,0
056807746,FONCIA LE PHARE,68.32A,,MARSEILLE 1,70,,,0
056807944,HOTEL WALIS,00.97,,MARSEILLE 1,126,,,0
056808363,DOCKS MARITIMES ET INDUSTRIELS,51.6K,,MARSEILLE 15,70,,,0
056808447,SAGAM,00.98,,MARSEILLE 1,126,,,0
056808488,A LA MICHE DOREE,81.21,,MARSEILLE 6,126,,,0
056808587,LA GALVANISATION DE PROVENCE,21.03,,MARSEILLE,70,,,0
056808652,ETABLISSEMENTS ALLET,47.71Z,,MARSEILLE,45,,,0
056808678,AUXILIAIRE DE TRANSIT,74.01,,MARSEILLE 2,126,,,0
056808702,HOTEL ARIANA,55.1C,,MARSEILLE,70,,,0
056808926,LE RELAIS FLEURI,55.3A,,MARSEILLE 8,70,,,0
056809015,LUXE ET CONFORT ARTIC MENAGER,64.22,,MARSEILLE 6,126,,,0
056809254,DELTA DISTRIBUTION,68.20B,,MARSEILLE,70,,,0
056809494,SOCIETE LIMOGES-FRANCE,52.4J,,MARSEILLE 1,70,,,0
056809502,LA PHOCEENNE,81.22Z,10-19,MARSEILLE,70,,,0
056809734,JACQUES BROUSSE D. VERGEZ ET COMPAGNIE,51.1N,,MARSEILLE 2,70,,,0
056809957,G. GIRAUDON ET FILS,46.36Z,6-9,MARSEILLE,70,,,0
056810054,SOCIETE R. H. URIOS METROPOLE,00.97,,MARSEILLE 6,126,,,0
056810070,FERREOL IMMOBILIERE,68.20B,,MARSEILLE,70,,,0
057702847,,62.46,,MARSEILLE,126,,,0
057703241,,00.97,,MARSEILLE,126,,,0
057704645,,77.09,,MARSEILLE,69,,,0
057706590,,62.11,,MARSEILLE,69,,,0
057707382,,00.97,,MARSEILLE,126,,,0
057708190,,65.03,,MARSEILLE,126,,,0
057709453,,62.43,,MARSEILLE,69,,,0
057709651,,00.97,,MARSEILLE,126,,,0
057711616,,87.01,,MARSEILLE,126,,,0
057711756,,52.6E,,MARSEILLE,69,,,0
057711798,,00.97,,MARSEILLE,126,,,0
057712226,,00.97,,MARSEILLE,126,,,0
057713612,,52.4C,,MARSEILLE 15EME,69,,,0
057713760,,00.97,,MARSEILLE,126,,,0
057716078,,00.97,,MARSEILLE 13,126,,,0
057716839,,86.02,,MARSEILLE,126,,,0
057719296,,64.30,,MARSEILLE,69,,,0
057720179,,62.41,,MARSEILLE,126,,,0
057721011,HOIRIE BONFILS JEAN,15.8D,,MARSEILLE,62,,,0
057721383,,55.71,,MARSEILLE,69,,,0
057722191,,64.45,,MARSEILLE,69,,,0
057722738,,64.44,,MARSEILLE,126,,,0
057723165,,55.71,,MARSEILLE,69,,,0
057724965,,50.2Z,,MARSEILLE,69,,,0
057727554,,64.46,,MARSEILLE,126,,,0
057728644,,00.97,,MARSEILLE,126,,,0
057729162,,00.97,,MARSEILLE,126,,,0
057730335,,00.97,,MARSEILLE,126,,,0
057731283,,68.20B,,MARSEILLE,53,,,0
057731564,,00.97,,MARSEILLE,126,,,0
057733164,,38.40,,MARSEILLE,126,,,0
057736050,,52.2L,,MARSEILLE,49,,,0
057737413,,00.97,,MARSEILLE,126,,,0
057737710,,62.11,,MARSEILLE,69,,,0
057739187,,00.98,,MARSEILLE 1,126,,,0
057739328,,00.97,,MARSEILLE,126,,,0
057739989,,00.97,,MARSEILLE,126,,,0
057740417,,64.43,,MARSEILLE,126,,,0
057741084,,65.03,,MARSEILLE,126,,,0
057800864,BOURRISSON BATIMENT MACONNERIE,55.60,,MARSEILLE,69,,,0
057801441,MARSEILLE MENAGER,64.25,,MARSEILLE 1,69,,,0
057802357,BONNASSE LYONNAISE DE BANQUE,64.19Z,,MARSEILLE 9,69,,,0
057802357,BONNASSE LYONNAISE DE BANQUE,64.19Z,,MARSEILLE 8,69,,,0
057802399,MANUFACT PROVENCALE PAPIERS,51.10,,MARSEILLE 9,126,,,0
057802415,PLAINDOUX ET COMPAGNIE,00.97,,MARSEILLE 2,126,,,0
057802696,PARFUMS NODAR,24.6E,,MARSEILLE 3,69,,,0
057802704,ETABLISSEMENTS MASSEL GREGORI,00.97,,MARSEILLE 1,126,,,0
057802720,MAISON BOURGEAT,70.2C,,AIX-EN-PROVENCE,71,,,0
057802753,COMASUD,46.73A,1000-1999,MARSEILLE,69,,,0
057803371,COMPTOIR MARSEILLAIS DES PRIMEURS,57.03,,MARSEILLE 5,69,,,0
057804064,SOMESYS,35.30Z,,MARSEILLE,69,,,0
057804411,ETS MARSEILLAIS D'IMPORTATION DE GOMME ARABIQUE,46.75Z,6-9,MARSEILLE,43,,,0
057804726,BONNANS SA,64.20Z,,AIX-EN-PROVENCE,69,,,0
057804833,STERNIL,00.97,,MARSEILLE 4,126,,,0
057805616,MARSEILLE MENUISERIE,20.3Z,,MARSEILLE,69,,,0
057805970,ROMAN LANTHEAUME,00.97,,MARSEILLE 6,126,,,0
057806150,SOCIETE DES EAUX DE MARSEILLE,36.00Z,250-499,MARSEILLE,69,,,0
057806309,CAFE DE LA BANQUE,55.4B,,MARSEILLE 6,69,,,0
057806622,SOCIETE DU BAR DU PETIT NAPOLEON,67.04,,MARSEILLE,69,,,0
057806895,B. IMMOBILER PIOLINE,64.20Z,,AIX-EN-PROVENCE,69,,,0
057807034,DUBOIS DISTRIBUTION SERVICES,63.4C,,MARSEILLE 2,69,,,0
057807067,LES SUCCESSEURS DE MARTIN FRERES,57.11,,MARSEILLE 4,69,,,0
057807117,SOCIETE MARITIME INTERNATIONALE,63.2C,,MARSEILLE 2,69,,,0
057807240,ETABLISSEMENTS SADOK ET FILS,00.97,,MARSEILLE 1,126,,,0
057808289,SERVICES ANNEXES DE L'INDUSTRIE,00.97,,MARSEILLE 6,126,,,0
057808321,ASSEO ET COMPAGNIE,74.1G,,MARSEILLE 8,69,,,0
057808370,BATTESTI FRANCOIS ET PRAT MAURICE,63.4C,,MARSEILLE 15,69,,,0
057808388,OLVEA VEGETABLE OILS,10.41B,20-49,LE THOLONET,69,,,0
057808412,SOCIETE DE VEYRAC ET DE LALEU,66.22Z,3-5,MARSEILLE,69,,,1
057808669,AU GRAND DEPOT DE PROVENCE,46.42Z,,MARSEILLE,68,,,0
057809436,CYCLES RENE BERTRAND,64.41,,MARSEILLE 5,69,,,0
057810285,AGENCE TARTRIFUGE DETARTRAGE,24.08,,MARSEILLE,69,,,0
057810459,CPT MARTIN SUDAN FOURN DENTAIR,,,MARSEILLE 1,126,,,0
057810897,SOC CAVAZZA ET CIE,81.21,,MARSEILLE,126,,,0
057810988,OLYMPIC GARAGE,45.32Z,1-2,MARSEILLE,69,,,0
057811069,CENTRAL SPORTS,77.11A,,MARSEILLE,69,,,0
057811127,SHOES EXPORT CHAUSSURES GROS,58.06,,MARSEILLE 1,126,,,0
057811747,MULTIPLEX,00.97,,MARSEILLE 5,126,,,0
057812646,BAR GUTENBERG,56.10A,,MARSEILLE,69,,,0
057813412,LE MARIVAUX,68.20B,,MARSEILLE,69,,,0
057813891,SARL ANCIENS ETABLISSEMENTS SOMBARDIER ET SAPOR,68.20B,,MARSEILLE,69,,,0
057814097,SOCIETE NICOLAS FRERES,52.24A,10-19,MARSEILLE,69,,,0
057814469,ANTOINE REVEL SARL,68.20B,,MARSEILLE,69,,,0
057814717,ETABL ALBERT RAYNAUD ET FILS,54.08,,MARSEILLE 10,126,,,0
057814725,CHERICONI ETABL,20.5A,,MARSEILLE,69,,,0
057814840,MARIUS ET FILS QUINCAILLERIE,52.4N,,MARSEILLE,69,,,0
057814998,RICHE HOTEL,67.09,,MARSEILLE 1,69,,,0
057815045,SOMECOPEINT FAB PEINTUR VERNIS,70.2C,,MARSEILLE 14,69,,,0
057815177,TUILERIE MARSEILLE MEDITERANNE,74.1J,,AIX-EN-PROVENCE,69,,,0
057815821,LE CYGNE,68.20B,0 salarié,MARSEILLE,69,,,0
057816308,SIMONE JEAN,47.78C,,MARSEILLE,69,,,0
